video_id,frame_idx,t,track_id,class,conf_det,u,v,w,h
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097804,person,0.4454,1786.7,626.8,34.6,88.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097039,person,0.3252,1741.9,619.0,44.6,106.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097896,person,0.3321,1703.9,613.6,44.2,68.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097916,person,0.4425,182.2,512.7,30.8,70.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1096423,car,0.6233,727.5,333.8,51.9,41.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097053,car,0.5588,25.9,673.5,222.5,88.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1096559,car,0.4445,4.6,747.7,336.1,150.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097753,truck,0.4329,4.5,731.6,337.8,166.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097794,car,0.4086,683.1,307.1,56.1,47.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097885,car,0.7827,893.5,682.3,165.1,81.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097886,car,0.7942,1448.0,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097887,person,0.6791,537.2,924.0,36.3,89.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097888,car,0.7672,1645.2,536.9,145.1,59.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097889,car,0.5999,473.0,356.4,52.1,45.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097890,car,0.4853,640.6,498.0,65.3,56.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097891,car,0.5255,1443.0,858.9,301.7,174.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097892,car,0.4864,552.9,305.6,55.7,41.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097804,person,0.4669,1786.6,626.5,35.0,88.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097039,person,0.3146,1742.0,619.2,44.6,106.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097896,person,0.3226,1703.8,612.6,45.5,70.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097916,person,0.3932,182.5,513.2,30.6,70.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,10,0.333333,1097911,car,0.2967,1450.5,859.0,192.2,84.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1096423,car,0.6235,727.5,333.7,51.9,41.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097053,car,0.5587,26.0,673.5,222.1,88.5
